Date,Close,High,Low,Open,Volume
1996-10-24,2.9664461612701416,2.9664461612701416,2.9664461612701416,2.9664461612701416,71500000
1996-10-25,2.9664461612701416,2.9664461612701416,2.9664461612701416,2.9664461612701416,12400000
1996-10-28,2.9316635131835938,2.9316635131835938,2.9316635131835938,2.9316635131835938,9600000
1996-10-29,2.9167566299438477,2.9167566299438477,2.9167566299438477,2.9167566299438477,52400000
1996-10-30,2.956507921218872,2.956507921218872,2.956507921218872,2.956507921218872,3400000
1996-10-31,2.9664461612701416,2.9664461612701416,2.9664461612701416,2.9664461612701416,65900000
1996-11-01,3.0012283325195312,3.0012283325195312,3.0012283325195312,3.0012283325195312,6000000
1996-11-04,2.9912900924682617,2.9912900924682617,2.9912900924682617,2.9912900924682617,26881500
1996-11-05,2.996260166168213,2.996260166168213,2.996260166168213,2.996260166168213,6158900
1996-11-06,2.996260166168213,2.996260166168213,2.996260166168213,2.996260166168213,5695500
1996-11-07,2.9763834476470947,2.9763834476470947,2.9763834476470947,2.9763834476470947,64000
1996-11-08,2.956507921218872,2.956507921218872,2.956507921218872,2.956507921218872,15067600
1996-11-11,2.956507921218872,2.956507921218872,2.956507921218872,2.956507921218872,316600
1996-11-12,2.9763834476470947,2.9763834476470947,2.9763834476470947,2.9763834476470947,15270000
1996-11-13,2.981353521347046,2.981353521347046,2.981353521347046,2.981353521347046,2694000
1996-11-14,2.981353521347046,2.981353521347046,2.981353521347046,2.981353521347046,128000
1996-11-15,2.981353521347046,2.981353521347046,2.981353521347046,2.981353521347046,5700000
1996-11-18,2.9664461612701416,2.9664461612701416,2.9664461612701416,2.9664461612701416,2701600
1996-11-19,2.9664461612701416,2.9664461612701416,2.9664461612701416,2.9664461612701416,4704800
1996-11-20,2.9664461612701416,2.9664461612701416,2.9664461612701416,2.9664461612701416,189400
1996-11-21,2.9664461612701416,2.9664461612701416,2.9664461612701416,2.9664461612701416,600000
1996-11-22,2.946570634841919,2.946570634841919,2.946570634841919,2.946570634841919,2630000
1996-11-25,2.941601276397705,2.941601276397705,2.941601276397705,2.941601276397705,3788200
1996-11-26,2.926694631576538,2.926694631576538,2.926694631576538,2.926694631576538,39694300
1996-11-27,2.926694631576538,2.926694631576538,2.926694631576538,2.926694631576538,0
1996-11-28,2.926694631576538,2.926694631576538,2.926694631576538,2.926694631576538,275100
1996-11-29,2.926694631576538,2.926694631576538,2.926694631576538,2.926694631576538,515300
1996-12-02,2.926694631576538,2.926694631576538,2.926694631576538,2.926694631576538,2097500
1996-12-03,2.9366321563720703,2.9366321563720703,2.9366321563720703,2.9366321563720703,23685300
1996-12-04,2.9366321563720703,2.9366321563720703,2.9366321563720703,2.9366321563720703,5517300
1996-12-05,2.946570634841919,2.946570634841919,2.946570634841919,2.946570634841919,35185900
1996-12-06,2.9167566299438477,2.9167566299438477,2.9167566299438477,2.9167566299438477,22547800
1996-12-09,2.9316635131835938,2.9316635131835938,2.9316635131835938,2.9316635131835938,19225000
1996-12-10,2.9316635131835938,2.9316635131835938,2.9316635131835938,2.9316635131835938,2100000
1996-12-11,2.9316635131835938,2.9316635131835938,2.9316635131835938,2.9316635131835938,100000
1996-12-12,2.941601276397705,2.941601276397705,2.941601276397705,2.941601276397705,9631300
1996-12-13,2.981353521347046,2.981353521347046,2.981353521347046,2.981353521347046,57146300
1996-12-16,3.0161361694335938,3.0161361694335938,3.0161361694335938,3.0161361694335938,1100000
1996-12-17,3.026073455810547,3.026073455810547,3.026073455810547,3.026073455810547,53200
1996-12-18,3.031041383743286,3.031041383743286,3.031041383743286,3.031041383743286,160000
1996-12-19,3.031041383743286,3.031041383743286,3.031041383743286,3.031041383743286,700000
1996-12-20,3.040980100631714,3.040980100631714,3.040980100631714,3.040980100631714,50000
1996-12-23,3.045947790145874,3.045947790145874,3.045947790145874,3.045947790145874,6722400
1996-12-24,3.045947790145874,3.045947790145874,3.045947790145874,3.045947790145874,1000000
1996-12-25,3.045947790145874,3.045947790145874,3.045947790145874,3.045947790145874,0
1996-12-26,3.045947790145874,3.045947790145874,3.045947790145874,3.045947790145874,0
1996-12-27,3.045947790145874,3.045947790145874,3.045947790145874,3.045947790145874,200000
1996-12-30,3.1552658081054688,3.1552658081054688,3.1552658081054688,3.1552658081054688,3511400
1996-12-31,3.4384939670562744,3.4384939670562744,3.4384939670562744,3.4384939670562744,10420000
1997-01-01,3.4384939670562744,3.4384939670562744,3.4384939670562744,3.4384939670562744,0
1997-01-02,3.314269781112671,3.314269781112671,3.314269781112671,3.314269781112671,30676200
1997-01-03,3.324209213256836,3.324209213256836,3.324209213256836,3.324209213256836,38825000
1997-01-06,3.3838346004486084,3.3838346004486084,3.3838346004486084,3.3838346004486084,195044400
1997-01-07,3.3838346004486084,3.3838346004486084,3.3838346004486084,3.3838346004486084,21201700
1997-01-08,3.4037110805511475,3.4037110805511475,3.4037110805511475,3.4037110805511475,124031000
1997-01-09,3.334146499633789,3.334146499633789,3.334146499633789,3.334146499633789,7265000
1997-01-10,3.3291776180267334,3.3291776180267334,3.3291776180267334,3.3291776180267334,720800
1997-01-13,3.3291776180267334,3.3291776180267334,3.3291776180267334,3.3291776180267334,9563400
1997-01-14,3.324209213256836,3.324209213256836,3.324209213256836,3.324209213256836,20804500
1997-01-15,3.304333448410034,3.304333448410034,3.304333448410034,3.304333448410034,12537300
1997-01-16,3.3838346004486084,3.3838346004486084,3.3838346004486084,3.3838346004486084,7392000
1997-01-17,3.4037110805511475,3.4037110805511475,3.4037110805511475,3.4037110805511475,9944600
1997-01-20,3.393772840499878,3.393772840499878,3.393772840499878,3.393772840499878,1538000
1997-01-21,3.229799509048462,3.229799509048462,3.229799509048462,3.229799509048462,11552900
1997-01-22,3.195016860961914,3.195016860961914,3.195016860961914,3.195016860961914,4940000
1997-01-23,3.224829912185669,3.224829912185669,3.224829912185669,3.224829912185669,4357300
1997-01-24,3.229799509048462,3.229799509048462,3.229799509048462,3.229799509048462,9526500
1997-01-27,3.229799509048462,3.229799509048462,3.229799509048462,3.229799509048462,346500
1997-01-28,3.229799509048462,3.229799509048462,3.229799509048462,3.229799509048462,20016200
1997-01-29,3.229799509048462,3.229799509048462,3.229799509048462,3.229799509048462,10230000
1997-01-30,3.2645814418792725,3.2645814418792725,3.2645814418792725,3.2645814418792725,12565000
1997-01-31,3.2645814418792725,3.2645814418792725,3.2645814418792725,3.2645814418792725,515000
1997-02-03,3.2596118450164795,3.2596118450164795,3.2596118450164795,3.2596118450164795,4980600
1997-02-04,3.2596118450164795,3.2596118450164795,3.2596118450164795,3.2596118450164795,39272500
1997-02-05,3.3291776180267334,3.3291776180267334,3.3291776180267334,3.3291776180267334,13749300
1997-02-06,3.339114189147949,3.339114189147949,3.339114189147949,3.339114189147949,1454100
1997-02-07,3.4136486053466797,3.4136486053466797,3.4136486053466797,3.4136486053466797,7095000
1997-02-10,3.4384939670562744,3.4384939670562744,3.4384939670562744,3.4384939670562744,2550000
1997-02-11,3.4732749462127686,3.4732749462127686,3.4732749462127686,3.4732749462127686,9644600
1997-02-12,3.5030901432037354,3.5030901432037354,3.5030901432037354,3.5030901432037354,16232900
1997-02-13,3.5329034328460693,3.5329034328460693,3.5329034328460693,3.5329034328460693,168000
1997-02-14,3.5179965496063232,3.5179965496063232,3.5179965496063232,3.5179965496063232,20512000
1997-02-17,3.5179965496063232,3.5179965496063232,3.5179965496063232,3.5179965496063232,1775000
